2.632607561124794548e-01;1.153195838194042977e-01;1.153195838194042699e-01
2.265742149046131304e-01;1.285441654283734914e-01;1.285441654283734636e-01
2.293211407242991551e-01;1.489168610874467558e-01;1.489168610874467280e-01
2.834178180366614397e-01;8.704699111768765540e-02;8.704699111768765540e-02
2.690964540753842948e-01;1.072453799397625473e-01;1.072453799397625196e-01
3.351565316201334244e-01;7.755013267919824704e-02;7.755013267919819153e-02
3.720226380309862302e-01;3.893560370210341626e-02;3.893560370210341626e-02
3.711117802171401414e-01;3.279695408124311262e-02;3.279695408124311262e-02
3.729911954532786900e-01;3.719091312058941945e-02;3.719091312058936394e-02
3.893693356686682705e-01;7.904255959912676044e-03;7.904255959912676044e-03
3.893693356686682705e-01;7.904255959912676044e-03;7.904255959912676044e-03
3.878601695174760389e-01;1.359239937059764092e-02;1.359239937059764092e-02
3.873832640763771873e-01;8.006077377451126242e-03;8.006077377451126242e-03
3.912561036813447801e-01;5.561251214046547542e-03;5.561251214046547542e-03
3.932421752736358633e-01;4.854258028006375181e-03;4.854258028006375181e-03
3.854964960637006222e-01;9.496869215006198406e-03;9.496869215006198406e-03
3.893693356686682705e-01;7.904255959912676044e-03;7.904255959912676044e-03
3.875769060566255364e-01;1.070559301470047631e-02;1.070559301470047631e-02
3.856901380439490268e-01;1.187332289524067885e-02;1.187332289524067885e-02
3.873832640763771873e-01;8.006077377451126242e-03;8.006077377451126242e-03
